Time,ssb,ssb.se,added_sugar,added_sugar.se,sodium,sodium.se,kcal,kcal.se,sfat,sfat.se,fruit,fruit.se,veg,veg.se
22,0.1,0.01,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,0.6,0.15,0.5,0.31
23,0.1,0.01,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,0.6,0.15,0.5,0.31
24,0.1,0.01,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,0.6,0.15,0.5,0.31
25,0.1,0.01,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,0.6,0.15,0.5,0.31
26,0.1,0.01,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,0.6,0.15,0.5,0.31
27,0.1,0.01,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,0.6,0.15,0.5,0.31
28,0.1,0.01,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,0.6,0.15,0.5,0.31
29,0.1,0.01,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,0.6,0.15,0.5,0.31
30,0.1,0.01,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,0.6,0.15,0.5,0.31
31,0.1,0.01,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,0.6,0.15,0.5,0.31
32,0.1,0.01,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,0.6,0.15,0.5,0.31
33,0.1,0.01,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,0.6,0.15,0.5,0.31
34,0.1,0.01,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,0.6,0.15,0.5,0.31
35,0.1,0.01,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,0.6,0.15,0.5,0.31
36,0.1,0.01,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,0.6,0.15,0.5,0.31
37,0.1,0.01,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,0.6,0.15,0.5,0.31
38,0.1,0.01,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,0.6,0.15,0.5,0.31
39,0.1,0.01,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,0.6,0.15,0.5,0.31
40,0.1,0.01,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,0.6,0.15,0.5,0.31
41,0.1,0.01,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,0.6,0.15,0.5,0.31
42,0.1,0.01,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,0.6,0.15,0.5,0.31
43,0.1,0.01,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,0.6,0.15,0.5,0.31
44,0.1,0.01,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,0.6,0.15,0.5,0.31
45,0.1,0.01,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,0.6,0.15,0.5,0.31
46,0.1,0.01,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,0.6,0.15,0.5,0.31
47,0.1,0.01,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,0.6,0.15,0.5,0.31
48,0.1,0.01,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,0.6,0.15,0.5,0.31
49,0.1,0.01,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,0.6,0.15,0.5,0.31
50,0.1,0.01,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,0.6,0.15,0.5,0.31
51,0.1,0.01,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,0.6,0.15,0.5,0.31
52,0.1,0.01,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,0.6,0.15,0.5,0.31
53,0.1,0.01,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,0.6,0.15,0.5,0.31
54,0.1,0.01,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,0.6,0.15,0.5,0.31
55,0.1,0.01,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,0.6,0.15,0.5,0.31
56,0.1,0.01,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,0.6,0.15,0.5,0.31
57,0.1,0.01,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,0.6,0.15,0.5,0.31
58,0.1,0.01,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,0.6,0.15,0.5,0.31
59,0.1,0.01,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,0.6,0.15,0.5,0.31
60,0.1,0.01,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,0.6,0.15,0.5,0.31
61,0.1,0.01,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,0.6,0.15,0.5,0.31
62,0.1,0.01,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,0.6,0.15,0.5,0.31
63,0.1,0.01,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,0.6,0.15,0.5,0.31
64,0.1,0.01,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,0.6,0.15,0.5,0.31
65,0.1,0.01,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,0.6,0.15,0.5,0.31
66,0.1,0.01,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,0.6,0.15,0.5,0.31
67,0.1,0.01,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,0.6,0.15,0.5,0.31
68,0.1,0.01,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,0.6,0.15,0.5,0.31
69,0.1,0.01,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,0.6,0.15,0.5,0.31
70,0.1,0.01,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,0.6,0.15,0.5,0.31
71,0.1,0.01,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,0.6,0.15,0.5,0.31
72,0.1,0.01,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,0.6,0.15,0.5,0.31
73,0.1,0.01,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,0.6,0.15,0.5,0.31
74,0.1,0.01,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,0.6,0.15,0.5,0.31
75,0.1,0.01,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,0.6,0.15,0.5,0.31
76,0.1,0.01,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,0.6,0.15,0.5,0.31
77,0.1,0.01,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,0.6,0.15,0.5,0.31
78,0.1,0.01,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,0.6,0.15,0.5,0.31
79,0.1,0.01,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,0.6,0.15,0.5,0.31
80,0.1,0.01,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,0.6,0.15,0.5,0.31
81,0.1,0.01,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,0.6,0.15,0.5,0.31
82,0.1,0.01,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,0.6,0.15,0.5,0.31
83,0.1,0.01,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,0.6,0.15,0.5,0.31
84,0.1,0.01,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,0.6,0.15,0.5,0.31
85,0.1,0.01,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,0.6,0.15,0.5,0.31
86,0.1,0.01,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,0.6,0.15,0.5,0.31
87,0.1,0.01,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,0.6,0.15,0.5,0.31
88,0.1,0.01,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,0.6,0.15,0.5,0.31
89,0.1,0.01,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,0.6,0.15,0.5,0.31
90,0.1,0.01,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,0.6,0.15,0.5,0.31
91,0.1,0.01,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,0.6,0.15,0.5,0.31
92,0.1,0.01,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,0.6,0.15,0.5,0.31
93,0.1,0.01,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,0.6,0.15,0.5,0.31
94,0.1,0.01,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,0.6,0.15,0.5,0.31
95,0.1,0.01,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,0.6,0.15,0.5,0.31
96,0.1,0.01,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,0.6,0.15,0.5,0.31
97,0.1,0.01,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,0.6,0.15,0.5,0.31
98,0.1,0.01,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,0.6,0.15,0.5,0.31
99,0.1,0.01,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,0.6,0.15,0.5,0.31
100,0.1,0.01,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,1.00E-12,0.6,0.15,0.5,0.31
